IDv2,Speakers,Source,Date added,Raw Thumbnail,Branded Thumbnail,Languages by ISO Code,Captions by ISO Code,Languages Used,Alternate Name,Speaker Notes,Intake notes,Video Nation,Youtube Publish Schedule,Public (Youtube),Licenses,Publicity Clause,Transcribed,Transcription,Translation,Notes,italki call to action,italki active language,italki video has link,Publish order,Secondary Publish,Published on (Facebook),Facebook URL,Languages per video,Youtube Banners Updated,Youtube ID,Youtube URL,Demographics,Geneaology,Top level genealogy per language,Given language name,Video Description,Continent,.IDv1,Record Created At,Video Territory,Caption File Link
Dr.KarelOliva_20160330_ces+eng+bul+ita+deu+rus,Dr.KarelOliva__20160330,Vojta_Smekal_,3/30/2016,Dr.KarelOliva_20160330_ces+eng+bul+ita+deu+rus.png (https://dl.airtable.com/0BtJh7VrQgaqE7dUVaPC_Dr.KarelOliva_20160330_ces%2Beng%2Bbul%2Bita%2Bdeu%2Brus.png),Dr.KarelOliva_20160330_ces+eng+bul+ita+deu+rus.jpg (https://dl.airtable.com/Z1x2vYPtRlu2F0NK7sK3_Dr.KarelOliva_20160330_ces%2Beng%2Bbul%2Bita%2Bdeu%2Brus.jpg),"ces,eng,bul,ita,deu,rus",,"Czech, English, Bulgarian, Italian, German, Standard, Russian",,,,,9/14/2017,Public,Standard,,,,,,"Get a free Czech lesson with italki: http://promos.italki.com/wikitongues_ces, Get a free English lesson with italki: http://promos.italki.com/wikitongues_eng, Get a free Bulgarian lesson with italki: http://promos.italki.com/wikitongues_bul, Get a free Italian lesson with italki: http://promos.italki.com/wikitongues_ita, Get a free German, Standard lesson with italki: http://promos.italki.com/wikitongues_deu, Get a free Russian lesson with italki: http://promos.italki.com/wikitongues_rus",6 checked out of 6,,99,,,,6,,CwGK0BmHbmY,https://youtu.be/CwGK0BmHbmY,"10,400,000 in Czech Republic (ELDIA 2012). Population total all countries: 10,619,340., 55,600,000 in United Kingdom (ELDIA 2012). Population total all countries: 335,148,868. L2 users: 1,500,000 in United Kingdom (Crystal 2003). L2 users worldwide: 505,000,000., 7,020,000 in Bulgaria (ELDIA 2012). Population total all countries: 8,157,770., 57,700,000 in Italy (ELDIA 2012). Population total all countries: 63,655,047., 69,800,000 in Germany (ELDIA 2012). Population total all countries: 78,245,280. L2 users: 8,000,000 in Germany (ELDIA 2012)., 137,000,000 in Russian Federation (2010 census). Population total all countries: 167,332,230.","Indo-European, Slavic, West, Czech-Slovak, Indo-European, Germanic, West, English, Indo-European, Slavic, South, Eastern, Indo-European, Italic, Romance, Italo-Western, Italo-Dalmatian, Indo-European, Germanic, West, High German, German, Middle German, East Middle German, Indo-European, Slavic, East",Indo-European,§,,"Eurasia, Eurasia, Eurasia, Eurasia, Eurasia, Eurasia, Eurasia, Eurasia, Eurasia, Eurasia",,2016-3-30,,
Ibrahim_20160229_fra+dje+gux+ful+mey+taq,Ibrahim_Najum_20160229,Teddy_Nee_20141005,2/29/2016,"""Ibrahim_s6__20160229_fra,ara,tmh,dje,gux,ful.png (https://dl.airtable.com/3mICF6gSpqKNI67efpQd_Ibrahim_s6__20160229_fra%2Cara%2Ctmh%2Cdje%2Cgux%2Cful.png)""","""Ibrahim_s6__20160229_fra,ara,tmh,dje,gux,ful.jpg (https://dl.airtable.com/Q1FhmenLR8qIApKmwcll_Ibrahim_s6__20160229_fra%2Cara%2Ctmh%2Cdje%2Cgux%2Cful.jpg)""","fra,dje,gux,ful,mey,taq",,"French, Zarma, Gourmanchéma, Fulah, Hassaniyya, Tamasheq",,,,,5/11/2016,Public,Standard,,,,,,Get a free French lesson with italki: http://promos.italki.com/wikitongues_fra,6 checked out of 6,,31,,,,6,checked,7EJud2CMRyo,https://youtu.be/7EJud2CMRyo,"60,000,000 in France (ELDIA 2012). Population total all countries: 74,980,460., 2,350,000 in Niger (2006). Population total all countries: 2,438,900., 600,000 in Burkina Faso (1999 SIL). Population total all countries: 813,000., Population total all languages: 22,331,400., 2,770,000 in Mauritania (2006), increasing. Population total all countries: 3,278,190., 250,000 in Mali (1991). Population total all countries: 281,200.","Indo-European, Italic, Romance, Italo-Western, Western, Gallo-Iberian, Gallo-Romance, Gallo-Rhaetian, Oïl, French, Nilo-Saharan, Songhai, Southern, Niger-Congo, Atlantic-Congo, Volta-Congo, North, Gur, Central, Northern, Oti-Volta, Gurma, Afro-Asiatic, Semitic, Central, South, Arabic, Afro-Asiatic, Berber, Tamasheq, Southern",Indo-European,§,,"Eurasia, Eurasia, Americas, Eurasia, Eurasia, Africa, Africa, Africa, Africa, Africa",,2016-3-30,,
Stéfane_20161205_jpn+fra+eng+por,Stéfane_Hélder_20161130,Stefan_Hélder_,12/5/2016,Stéfane_20161205_jpn+fra+eng+por.png (https://dl.airtable.com/vrPy4d2zRzejxh9Xs6k4_Ste%CC%81fane_20161205_jpn%2Bfra%2Beng%2Bpor.png),Stefane_20161205_jpn+fra+eng+por.jpg (https://dl.airtable.com/3E8mAYeQJuDgmYKp93Je_Stefane_20161205_jpn%2Bfra%2Beng%2Bpor.jpg),"jpn,fra,eng,por",,"Japanese, French, English, Portuguese",,,,,9/28/2017,Public,Standard,,,,,,"Get a free Japanese lesson with italki: http://promos.italki.com/wikitongues_jpn, Get a free French lesson with italki: http://promos.italki.com/wikitongues_fra, Get a free English lesson with italki: http://promos.italki.com/wikitongues_eng, Get a free Portuguese lesson with italki: http://promos.italki.com/wikitongues_por",4 checked out of 4,,,,,,4,,8jAAPdvTld0,https://youtu.be/8jAAPdvTld0,"121,000,000 in Japan (1985). Population figure may include other ethnic groups. Population total all countries: 122,056,940. L2 users: 1,000,000 in Japan., 60,000,000 in France (ELDIA 2012). Population total all countries: 74,980,460., 55,600,000 in United Kingdom (ELDIA 2012). Population total all countries: 335,148,868. L2 users: 1,500,000 in United Kingdom (Crystal 2003). L2 users worldwide: 505,000,000., 10,000,000 in Portugal (ELDIA 2012). Population total all countries: 203,349,200.","Japonic, Indo-European, Italic, Romance, Italo-Western, Western, Gallo-Iberian, Gallo-Romance, Gallo-Rhaetian, Oïl, French, Indo-European, Germanic, West, English, Indo-European, Italic, Romance, Italo-Western, Western, Gallo-Iberian, Ibero-Romance, West Iberian, Portuguese-Galician",Japonic,§,,"Eurasia, Eurasia, Eurasia, Americas, Eurasia, Eurasia, Eurasia, Eurasia, Eurasia, Eurasia",,2016-12-5,,
Labaram_20160702_bqg,Labaram__20160702,Sophia_Leenay_,7/2/2016,Screen Shot 2016-09-02 at 4.58.48 PM.png (https://dl.airtable.com/jkdoBmhHQFaij0fhi7Xs_Screen%20Shot%202016-09-02%20at%204.58.48%20PM.png),Labaram_s1_M_20160702_bqg.jpg (https://dl.airtable.com/5kxuKwGQNyZzM7g2jqJq_Labaram_s1_M_20160702_bqg.jpg),bqg,,Bago-Kusuntu,Koussountou,,,,9/3/2016,Public,Standard,,,,,,,1 checked out of 1,,,,,,1,,YTgDOQuuvdc,https://youtu.be/YTgDOQuuvdc,"7,500 (2000). Ethnic population: 8,000.","Niger-Congo, Atlantic-Congo, Volta-Congo, North, Gur, Central, Southern, Grusi, Eastern",Niger-Congo,§Koussountou,,Africa,,2016-7-5,,
Isaaka_20160628_kdh,Isaaka_Ouro-Wetchire_20160628,Sophia_Leenay_,6/28/2016,Isaaka_s1_M_20160628_kdh.png (https://dl.airtable.com/kiUiaAPHRGpqXMmsfPV4_Isaaka_s1_M_20160628_kdh.png),Isaaka_s1_M_20160628_kdh.jpg (https://dl.airtable.com/I5ev6xoGRYuy4d9dX4KR_Isaaka_s1_M_20160628_kdh.jpg),kdh,,Tem,,,,,11/17/2016,Public,Standard,,,,,,,1 checked out of 1,,,,,,1,,TPWT57Wuwac,https://youtu.be/TPWT57Wuwac,"204,000 in Togo (1991). Population total all countries: 307,000.","Niger-Congo, Atlantic-Congo, Volta-Congo, North, Gur, Central, Southern, Grusi, Eastern",Niger-Congo,§,,Africa,,2016-7-5,,
Navas_20160925_-byu,Navas__20160925,Sidhique_Kappan_,9/25/2016,Screen Shot 2016-11-29 at 19.21.52.png (https://dl.airtable.com/dryNBzI2SFaVc6LvgniL_Screen%20Shot%202016-11-29%20at%2019.21.52.png),Navas_s1_M_20160925_-byu.jpg (https://dl.airtable.com/UbYvRM01S3e53aIysRb5_Navas_s1_M_20160925_-byu.jpg),-byu,,Beary,Byari,,,,11/29/2016,Public,CC BY-NC 3.0,checked,,,,,,1 checked out of 1,,,,,,1,,pmwUGyC-Hh0,https://youtu.be/pmwUGyC-Hh0,,,,§Byari,,Eurasia,,2016-9-26,,
Nitesh_20160614_bgc,Nitesh__20160614,Satdeep_Gill_,6/14/2016,Nitesh_s1_F_20160614_bgc.png (https://dl.airtable.com/06TF2JC7TCqCFtutw9QE_Nitesh_s1_F_20160614_bgc.png),Nitesh_s1_F_20160614_bgc.jpg (https://dl.airtable.com/vykd9zPSuW5Y9JPO0fP1_Nitesh_s1_F_20160614_bgc.jpg),bgc,eng,Haryanvi,,,,,7/9/2016,Public,CC BY-SA 4.0,checked,,,,,,1 checked out of 1,,,Facebook,2018-1-12,https://www.facebook.com/wikitongues/videos/1694236013974252/,1,,a0TKySIPH0E,https://youtu.be/a0TKySIPH0E,"8,000,000 (2001 census). Ethnic population: 16,000,000 (1992 SIL).","Indo-European, Indo-Iranian, Indo-Aryan, Central zone, Western Hindi, Unclassified",Indo-European,§,,Eurasia,,2016-6-14,,https://www.dropbox.com/sh/slwg2kb63y98kzm/AABT8QAimtj2dPgzfTTwdpdCa?dl=0
Raphael_20160721_aka,Raphael__20160721,Satdeep_Gill_,7/21/2016,Screen Shot 2016-08-12 at 14.06.51.png (https://dl.airtable.com/Ca8XZpVkRAez5VcyFN7A_Screen%20Shot%202016-08-12%20at%2014.06.51.png),Raphael_s1_M_20160721_aka.jpg (https://dl.airtable.com/fY2T9oCmTharPg2SDxB9_Raphael_s1_M_20160721_aka.jpg),aka,,Akan,Twi,"Twi ISO to be reconciled when we update database in accordance with ISO

",Classification,,8/12/2016,Public,CC BY-SA 4.0,checked,,,,,,1 checked out of 1,,,,,,1,,zUDEten_j9o,https://youtu.be/zUDEten_j9o,"8,300,000 in Ghana (2004 SIL). Population includes 2,800,000 Asante Twi, 1,900,000 Fante, 555,000 Akuapem Twi (2004). Population total all countries: 8,314,600. L2 users: 1,000,000 in Ghana.","Niger-Congo, Atlantic-Congo, Volta-Congo, Kwa, Nyo, Potou-Tano, Tano, Central, Akan",Niger-Congo,§Twi,,Africa,,2016-7-22,,
Mohammad_20160721_bqi,Mohammad__20160721,Satdeep_Gill_,7/21/2016,Screen Shot 2016-11-02 at 22.04.20.png (https://dl.airtable.com/Ao78yZJKTheH1mPQNt1c_Screen%20Shot%202016-11-02%20at%2022.04.20.png),Mohammad_s1_M_20160721_bqi.jpg (https://dl.airtable.com/dUA8EgqdRIu5LgYDIYRF_Mohammad_s1_M_20160721_bqi.jpg),bqi,eng,Bakhtiâri,Bakhtiari Farsi,,,,11/2/2016,Public,CC BY-SA 4.0,checked,,,,,,1 checked out of 1,,,,,,1,,oMeQ8llXq6o,https://youtu.be/oMeQ8llXq6o,"1,000,000 (2001). 350,000 monolinguals. Ethnic population: 1,000,000 (2001).","Indo-European, Indo-Iranian, Iranian, Western, Southwestern, Luri",Indo-European,§Bakhtiari Farsi,,Eurasia,,2016-7-22,,
Mounir_20160721_aeb,Mounir__20160721,Satdeep_Gill_,7/21/2016,Screen Shot 2017-01-18 at 14.25.09.png (https://dl.airtable.com/sCRwwwXUSyGMW18vFPeH_Screen%20Shot%202017-01-18%20at%2014.25.09.png),Mounir_s1_M_20160721_aeb.jpg (https://dl.airtable.com/5dieSmMPQGG7J9SY5Q8Z_Mounir_s1_M_20160721_aeb.jpg),aeb,,"Arabic, Tunisian Spoken",Tunisian Arabic,,,,1/19/2017,Public,CC BY-SA 4.0,checked,,,,,,1 checked out of 1,,,,,,1,,qxXq9iP-CGw,https://youtu.be/qxXq9iP-CGw,"9,000,000 in Tunisia (1995). Population total all countries: 9,406,900.","Afro-Asiatic, Semitic, Central, South, Arabic",Afro-Asiatic,§Tunisian Arabic,,Africa,,2016-7-22,,
